Unit,Family,PLID,Quarter,Month,Quantity,Date
CSA,UCSB,UCS-FI-6454,Q4 FY2007,JUL FY2007,358,2019-01-07
CSA,UCSB,UCS-FI-6454,Q4 FY2007,JUN FY2007,177,2019-01-06
CSA,UCSB,UCS-FI-6454,Q4 FY2007,MAY FY2007,329,2019-01-05
CSA,UCSB,UCSB-B200-M5,Q4 FY2007,JUL FY2007,12041,2019-01-07
CSA,UCSB,UCSB-B200-M5,Q4 FY2007,JUN FY2007,7260,2019-01-06
CSA,UCSB,UCSB-B200-M5,Q4 FY2007,MAY FY2007,7512,2019-01-05
CSA,UCSC,UCSC-C220-M5SX,Q4 FY2007,JUL FY2007,4490,2019-01-07
CSA,UCSC,UCSC-C220-M5SX,Q4 FY2007,JUN FY2007,2931,2019-01-06
CSA,UCSC,UCSC-C220-M5SX,Q4 FY2007,MAY FY2007,2141,2019-01-05
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2007,JUL FY2007,2641,2019-01-07
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2007,JUN FY2007,994,2019-01-06
CSA,UCSC,UCSC-C240-M5SX,Q4 FY2007,MAY FY2007,1032,2019-01-05
CSA,UCSCPU,UCS-CPU-I6226,Q4 FY2007,JUL FY2007,14,2019-01-07
CSA,UCSCPU,UCS-CPU-I6230,Q4 FY2007,JUL FY2007,1889,2019-01-07
CSA,UCSCPU,UCS-CPU-I6230,Q4 FY2007,JUN FY2007,350,2019-01-06
CSA,UCSCPU,UCS-CPU-I6230,Q4 FY2007,MAY FY2007,66,2019-01-05
CSA,UCSCPU,UCS-CPU-I6240,Q4 FY2007,JUL FY2007,848,2019-01-07
CSA,UCSCPU,UCS-CPU-I6240,Q4 FY2007,JUN FY2007,280,2019-01-06
CSA,UCSCPU,UCS-CPU-I6240,Q4 FY2007,MAY FY2007,52,2019-01-05
CSA,UCSCPU,UCS-CPU-I6246,Q4 FY2007,JUL FY2007,96,2019-01-07
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2007,JUL FY2007,688,2019-01-07
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2007,JUN FY2007,252,2019-01-06
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2007,MAY FY2007,2,2019-01-05
CSA,UCSCPU,UCS-CPU-I8260,Q4 FY2007,JUL FY2007,734,2019-01-07
CSA,UCSCPU,UCS-CPU-I8260,Q4 FY2007,JUN FY2007,108,2019-01-06
CSA,UCSCPU,UCS-CPU-I8260,Q4 FY2007,MAY FY2007,389,2019-01-05
CSA,UCSCPU,UCS-CPU-I8268,Q4 FY2007,JUL FY2007,820,2019-01-07
CSA,UCSCPU,UCS-CPU-I8268,Q4 FY2007,JUN FY2007,654,2019-01-06
CSA,UCSCPU,UCS-CPU-I8268,Q4 FY2007,MAY FY2007,400,2019-01-05
CSA,UCSCPU,UCS-CPU-I8276L,Q4 FY2007,MAY FY2007,0,2019-01-05
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2007,JUL FY2007,2,2019-01-07
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2007,JUN FY2007,4,2019-01-06
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2007,MAY FY2007,24,2019-01-05
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,JUL FY2007,396,2019-01-07
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,JUN FY2007,54,2019-01-06
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,MAY FY2007,144,2019-01-05
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2007,JUL FY2007,9688,2019-01-07
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2007,JUN FY2007,2067,2019-01-06
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2007,MAY FY2007,1439,2019-01-05
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2007,JUL FY2007,5847,2019-01-07
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2007,JUN FY2007,5962,2019-01-06
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2007,MAY FY2007,17183,2019-01-05
CSA,UCSMEM,UCS-MR-X32G2RT-H,Q4 FY2007,JUL FY2007,42018,2019-01-07
CSA,UCSMEM,UCS-MR-X32G2RT-H,Q4 FY2007,JUN FY2007,8866,2019-01-06
CSA,UCSMEM,UCS-MR-X32G2RT-H,Q4 FY2007,MAY FY2007,2933,2019-01-05
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUL FY2007,29520,2019-01-07
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUN FY2007,11255,2019-01-06
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,MAY FY2007,5841,2019-01-05
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUL FY2007,3199,2019-01-07
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUN FY2007,2043,2019-01-06
CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,MAY FY2007,4732,2019-01-05
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUL FY2007,4048,2019-01-07
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUN FY2007,1436,2019-01-06
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,MAY FY2007,1374,2019-01-05
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,JUL FY2007,753,2019-01-07
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,JUN FY2007,68,2019-01-06
CSA,UCST,UCSC-GPU-T4-16,Q4 FY2007,MAY FY2007,226,2019-01-05
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,JUL FY2007,4657,2019-01-07
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,JUN FY2007,3042,2019-01-06
CVEBU,CTSQS,CS-CODEC-PLUS+,Q4 FY2007,MAY FY2007,2573,2019-01-05
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,JUL FY2007,1391,2019-01-07
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,JUN FY2007,812,2019-01-06
CVEBU,CTSQS,CS-CODEC-PRO+,Q4 FY2007,MAY FY2007,822,2019-01-05
CVEBU,CTSQS,CS-KIT-K9,Q4 FY2007,JUL FY2007,4022,2019-01-07
CVEBU,CTSQS,CS-KIT-K9,Q4 FY2007,JUN FY2007,2461,2019-01-06
CVEBU,CTSQS,CS-KIT-K9,Q4 FY2007,MAY FY2007,3147,2019-01-05
CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2007,JUL FY2007,4408,2019-01-07
CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2007,JUN FY2007,2259,2019-01-06
CVEBU,CTSQS,CS-KIT-MINI-K9,Q4 FY2007,MAY FY2007,2627,2019-01-05
CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2007,JUL FY2007,3793,2019-01-07
CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2007,JUN FY2007,2712,2019-01-06
CVEBU,CTSQS,CS-QUADCAM+,Q4 FY2007,MAY FY2007,2122,2019-01-05
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2007,JUL FY2007,2709,2019-01-07
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2007,JUN FY2007,1658,2019-01-06
CVEBU,CTSQS,CTS-CAM-P60+,Q4 FY2007,MAY FY2007,1583,2019-01-05
EBBU,C9300AG,C9300-24S,Q4 FY2007,JUL FY2007,235,2019-01-07
EBBU,C9300AG,C9300-48S,Q4 FY2007,JUL FY2007,134,2019-01-07
EBBU,C9500,C9K-F1-SSD-240G,Q4 FY2007,JUL FY2007,175,2019-01-07
EBBU,C9500,C9K-F1-SSD-240G,Q4 FY2007,JUN FY2007,29,2019-01-06
EBBU,C9500,C9K-F1-SSD-240G,Q4 FY2007,MAY FY2007,35,2019-01-05
EBBU,C9500,C9500-24Y4C,Q4 FY2007,JUL FY2007,1423,2019-01-07
EBBU,C9500,C9500-24Y4C,Q4 FY2007,JUN FY2007,729,2019-01-06
EBBU,C9500,C9500-24Y4C,Q4 FY2007,MAY FY2007,407,2019-01-05
EBBU,C9500,C9500-40X,Q4 FY2007,JUL FY2007,2333,2019-01-07
EBBU,C9500,C9500-40X,Q4 FY2007,JUN FY2007,1141,2019-01-06
EBBU,C9500,C9500-40X,Q4 FY2007,MAY FY2007,902,2019-01-05
EBBU,C9500,C9500-48Y4C,Q4 FY2007,JUL FY2007,2670,2019-01-07
EBBU,C9500,C9500-48Y4C,Q4 FY2007,JUN FY2007,885,2019-01-06
EBBU,C9500,C9500-48Y4C,Q4 FY2007,MAY FY2007,862,2019-01-05
EBBU,C9600,C9600-SUP-1,Q4 FY2007,JUL FY2007,492,2019-01-07
EBBU,C9600,C9600-SUP-1,Q4 FY2007,JUN FY2007,124,2019-01-06
EBBU,C9600,C9600-SUP-1,Q4 FY2007,MAY FY2007,50,2019-01-05
EBBU,C9600,C9606R,Q4 FY2007,JUL FY2007,339,2019-01-07
EBBU,C9600,C9606R,Q4 FY2007,JUN FY2007,81,2019-01-06
EBBU,C9600,C9606R,Q4 FY2007,MAY FY2007,36,2019-01-05
ECBU,MDS9000,DS-C9148T-K9,Q4 FY2007,JUL FY2007,211,2019-01-07
ECBU,MDS9000,DS-C9148T-K9,Q4 FY2007,JUN FY2007,85,2019-01-06
ECBU,MDS9000,DS-C9148T-K9,Q4 FY2007,MAY FY2007,98,2019-01-05
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2007,JUL FY2007,91,2019-01-07
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2007,JUN FY2007,9,2019-01-06
ECBU,MDS9000,DS-C9396T-K9,Q4 FY2007,MAY FY2007,14,2019-01-05
ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2007,JUL FY2007,25858,2019-01-07
ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2007,JUN FY2007,4250,2019-01-06
ECBU,MDS9000,DS-SFP-FC32G-SW,Q4 FY2007,MAY FY2007,4838,2019-01-05
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,JUL FY2007,689,2019-01-07
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,JUN FY2007,148,2019-01-06
ECBU,MDS9000,DS-X9648-1536K9,Q4 FY2007,MAY FY2007,208,2019-01-05
ERBU,A9K9KFM,A9K-RSP5-SE,Q4 FY2007,JUL FY2007,61,2019-01-07
ERBU,A9K9KFM,A9K-RSP5-SE,Q4 FY2007,JUN FY2007,36,2019-01-06
ERBU,A9K9KFM,A9K-RSP5-SE,Q4 FY2007,MAY FY2007,19,2019-01-05
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2007,JUL FY2007,460,2019-01-07
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2007,JUN FY2007,70,2019-01-06
ERBU,A9K9KFM,A9K-RSP5-TR,Q4 FY2007,MAY FY2007,105,2019-01-05
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2007,JUL FY2007,284,2019-01-07
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2007,JUN FY2007,131,2019-01-06
ERBU,A9K9KFM,A9K-RSP880-SE,Q4 FY2007,MAY FY2007,118,2019-01-05
ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2007,JUL FY2007,285,2019-01-07
ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2007,JUN FY2007,101,2019-01-06
ERBU,A9K9KFM,A9K-RSP880-TR,Q4 FY2007,MAY FY2007,111,2019-01-05
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2007,JUL FY2007,71,2019-01-07
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2007,JUN FY2007,21,2019-01-06
ERBU,A9K9000,A9K-8X100GE-TR,Q4 FY2007,MAY FY2007,90,2019-01-05
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,JUL FY2007,531,2019-01-07
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,JUN FY2007,197,2019-01-06
ERBU,A9K9000,A9K-24X10GE-1G-TR,Q4 FY2007,MAY FY2007,68,2019-01-05
ERBU,A9K9000,A9K-9901,Q4 FY2007,JUL FY2007,328,2019-01-07
ERBU,A9K9000,A9K-9901,Q4 FY2007,JUN FY2007,56,2019-01-06
ERBU,A9K9000,A9K-9901,Q4 FY2007,MAY FY2007,106,2019-01-05
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,JUL FY2007,2870,2019-01-07
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,JUN FY2007,1346,2019-01-06
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,MAY FY2007,999,2019-01-05
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUL FY2007,3512,2019-01-07
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUN FY2007,1555,2019-01-06
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,MAY FY2007,1102,2019-01-05
QKBU,N9300,N9K-C9364C,Q4 FY2007,JUL FY2007,612,2019-01-07
QKBU,N9300,N9K-C9364C,Q4 FY2007,JUN FY2007,194,2019-01-06
QKBU,N9300,N9K-C9364C,Q4 FY2007,MAY FY2007,217,2019-01-05
QKBU,N9300,N9K-C92348GC-X,Q4 FY2007,JUL FY2007,3,2019-01-07
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,JUL FY2007,1857,2019-01-07
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,JUN FY2007,499,2019-01-06
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,MAY FY2007,509,2019-01-05
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2007,JUL FY2007,1480,2019-01-07
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2007,JUN FY2007,749,2019-01-06
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2007,MAY FY2007,746,2019-01-05
QKBU,N9300,N9K-C93360YC-FX2,Q4 FY2007,JUL FY2007,64,2019-01-07
QKBU,N9300,N9K-C93360YC-FX2,Q4 FY2007,JUN FY2007,7,2019-01-06
QKBU,N9500,N9K-C9508,Q4 FY2007,JUL FY2007,341,2019-01-07
QKBU,N9500,N9K-C9508,Q4 FY2007,JUN FY2007,270,2019-01-06
QKBU,N9500,N9K-C9508,Q4 FY2007,MAY FY2007,162,2019-01-05
QKBU,N9500,N9K-C9508-FM-E2,Q4 FY2007,JUL FY2007,836,2019-01-07
QKBU,N9500,N9K-C9508-FM-E2,Q4 FY2007,JUN FY2007,835,2019-01-06
QKBU,N9500,N9K-C9508-FM-E2,Q4 FY2007,MAY FY2007,319,2019-01-05
QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,JUL FY2007,1060,2019-01-07
QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,JUN FY2007,1270,2019-01-06
QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,MAY FY2007,408,2019-01-05
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,JUL FY2007,912,2019-01-07
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,JUN FY2007,637,2019-01-06
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,MAY FY2007,406,2019-01-05
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,JUL FY2007,229,2019-01-07
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,JUN FY2007,463,2019-01-06
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,MAY FY2007,813,2019-01-05
IOTBU,IE4000,IE-4010-16S12P,Q4 FY2007,JUL FY2007,1156,2019-01-07
IOTBU,IE4000,IE-4010-16S12P,Q4 FY2007,JUN FY2007,380,2019-01-06
IOTBU,IE4000,IE-4010-16S12P,Q4 FY2007,MAY FY2007,321,2019-01-05
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,JUL FY2007,86,2019-01-07
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,JUN FY2007,2,2019-01-06
NGFWBU,FPRHIGH,FPR4115-NGFW-K9,Q4 FY2007,MAY FY2007,0,2019-01-05
NGFWBU,FPRLOW,FPR1010-NGFW-K9,Q4 FY2007,JUL FY2007,992,2019-01-07
NGFWBU,FPRLOW,FPR1010-NGFW-K9,Q4 FY2007,JUN FY2007,520,2019-01-06
NGFWBU,FPRLOW,FPR1010-NGFW-K9,Q4 FY2007,MAY FY2007,128,2019-01-05
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2007,JUL FY2007,61,2019-01-07
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2007,JUN FY2007,181,2019-01-06
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2007,MAY FY2007,200,2019-01-05
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2007,JUL FY2007,226,2019-01-07
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2007,JUN FY2007,264,2019-01-06
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2007,MAY FY2007,208,2019-01-05
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,JUL FY2007,31,2019-01-07
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,JUN FY2007,38,2019-01-06
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,MAY FY2007,200,2019-01-05
OTBU,15454W,NCS2015-SA-DC,Q4 FY2007,JUL FY2007,55,2019-01-07
OTBU,15454W,NCS2015-SA-DC,Q4 FY2007,JUN FY2007,30,2019-01-06
OTBU,15454W,NCS2015-SA-DC,Q4 FY2007,MAY FY2007,29,2019-01-05
OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2007,JUL FY2007,144,2019-01-07
OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2007,JUN FY2007,6,2019-01-06
OTBU,NCS1000,NCS1K4-1.2T-K9,Q4 FY2007,MAY FY2007,365,2019-01-05
OTBU,NCS1000,NCS1001-K9,Q4 FY2007,JUL FY2007,93,2019-01-07
OTBU,NCS1000,NCS1001-K9,Q4 FY2007,JUN FY2007,18,2019-01-06
OTBU,NCS1000,NCS1001-K9,Q4 FY2007,MAY FY2007,50,2019-01-05
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUL FY2007,20,2019-01-07
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUN FY2007,1,2019-01-06
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,MAY FY2007,191,2019-01-05
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2007,JUL FY2007,1876,2019-01-07
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2007,JUN FY2007,585,2019-01-06
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2007,MAY FY2007,572,2019-01-05
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2007,JUL FY2007,9,2019-01-07
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2007,JUN FY2007,24,2019-01-06
BATBU,A9K920,A9K-920-4SZ-D,Q4 FY2007,MAY FY2007,12,2019-01-05
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2007,JUL FY2007,793,2019-01-07
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2007,JUN FY2007,7151,2019-01-06
BATBU,A9K920,A9K-920-12CZ-A,Q4 FY2007,MAY FY2007,449,2019-01-05
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2007,JUL FY2007,532,2019-01-07
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2007,JUN FY2007,381,2019-01-06
BATBU,A9K920,A9K-920-12SZ-IM,Q4 FY2007,MAY FY2007,83,2019-01-05
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,JUL FY2007,541,2019-01-07
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,JUN FY2007,402,2019-01-06
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,MAY FY2007,235,2019-01-05
BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,JUL FY2007,2795,2019-01-07
BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,JUN FY2007,435,2019-01-06
BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,MAY FY2007,164,2019-01-05
BATBU,NCS540,N540-PWR400-D,Q4 FY2007,JUL FY2007,5862,2019-01-07
BATBU,NCS540,N540-PWR400-D,Q4 FY2007,JUN FY2007,1515,2019-01-06
BATBU,NCS540,N540-PWR400-D,Q4 FY2007,MAY FY2007,597,2019-01-05
BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,JUL FY2007,237,2019-01-07
BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,JUN FY2007,76,2019-01-06
BATBU,NCS560,A900-IMA-8Z,Q4 FY2007,MAY FY2007,2,2019-01-05
BATBU,NCS560,N560-4-RSP4,Q4 FY2007,JUL FY2007,22,2019-01-07
BATBU,NCS560,N560-4-RSP4,Q4 FY2007,JUN FY2007,1,2019-01-06
BATBU,NCS560,N560-4-SYS,Q4 FY2007,JUL FY2007,11,2019-01-07
BATBU,NCS560,N560-4-SYS,Q4 FY2007,JUN FY2007,2,2019-01-06
BATBU,NCS4200,NCS4202-SA,Q4 FY2007,JUL FY2007,61,2019-01-07
BATBU,NCS4200,NCS4202-SA,Q4 FY2007,JUN FY2007,0,2019-01-06
BATBU,NCS4200,NCS4202-SA,Q4 FY2007,MAY FY2007,0,2019-01-05
SRSBU,4300ISR,ISR4321/K9,Q4 FY2007,JUL FY2007,13054,2019-01-07
SRSBU,4300ISR,ISR4321/K9,Q4 FY2007,JUN FY2007,9476,2019-01-06
SRSBU,4300ISR,ISR4321/K9,Q4 FY2007,MAY FY2007,7505,2019-01-05
SRSBU,4300ISR,ISR4331/K9,Q4 FY2007,JUL FY2007,19656,2019-01-07
SRSBU,4300ISR,ISR4331/K9,Q4 FY2007,JUN FY2007,18062,2019-01-06
SRSBU,4300ISR,ISR4331/K9,Q4 FY2007,MAY FY2007,14567,2019-01-05
SRSBU,4300ISR,ISR4351/K9,Q4 FY2007,JUL FY2007,4081,2019-01-07
SRSBU,4300ISR,ISR4351/K9,Q4 FY2007,JUN FY2007,2144,2019-01-06
SRSBU,4300ISR,ISR4351/K9,Q4 FY2007,MAY FY2007,1552,2019-01-05
SRSBU,ISR1121,ISR4431/K9,Q4 FY2007,JUL FY2007,5589,2019-01-07
SRSBU,ISR1121,ISR4431/K9,Q4 FY2007,JUN FY2007,3640,2019-01-06
SRSBU,ISR1121,ISR4431/K9,Q4 FY2007,MAY FY2007,2553,2019-01-05
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2007,JUL FY2007,3916,2019-01-07
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2007,JUN FY2007,2329,2019-01-06
SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2007,MAY FY2007,2009,2019-01-05
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2007,JUL FY2007,362,2019-01-07
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2007,JUN FY2007,132,2019-01-06
SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2007,MAY FY2007,78,2019-01-05
SRSBU,A9K1000,A9K1001-HX,Q4 FY2007,JUL FY2007,474,2019-01-07
SRSBU,A9K1000,A9K1001-HX,Q4 FY2007,JUN FY2007,213,2019-01-06
SRSBU,A9K1000,A9K1001-HX,Q4 FY2007,MAY FY2007,237,2019-01-05
SRSBU,A9K1000,A9K1001-X,Q4 FY2007,JUL FY2007,2468,2019-01-07
SRSBU,A9K1000,A9K1001-X,Q4 FY2007,JUN FY2007,1559,2019-01-06
SRSBU,A9K1000,A9K1001-X,Q4 FY2007,MAY FY2007,1353,2019-01-05
SRSBU,A9K1000,A9K1002-HX,Q4 FY2007,JUL FY2007,520,2019-01-07
SRSBU,A9K1000,A9K1002-HX,Q4 FY2007,JUN FY2007,255,2019-01-06
SRSBU,A9K1000,A9K1002-HX,Q4 FY2007,MAY FY2007,185,2019-01-05
SRSBU,ISR1K,C1111-4P,Q4 FY2007,JUL FY2007,7146,2019-01-07
SRSBU,ISR1K,C1111-4P,Q4 FY2007,JUN FY2007,5374,2019-01-06
SRSBU,ISR1K,C1111-4P,Q4 FY2007,MAY FY2007,3674,2019-01-05
SRSBU,ISR1K,C1111-8P,Q4 FY2007,JUL FY2007,14742,2019-01-07
SRSBU,ISR1K,C1111-8P,Q4 FY2007,JUN FY2007,7835,2019-01-06
SRSBU,ISR1K,C1111-8P,Q4 FY2007,MAY FY2007,4407,2019-01-05
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,JUL FY2007,4376,2019-01-07
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,JUN FY2007,2557,2019-01-06
SRSBU,ISR1K,C1111-8PLTExA,Q4 FY2007,MAY FY2007,1832,2019-01-05
SRSBU,ISR1K,C1116-4P,Q4 FY2007,JUL FY2007,3409,2019-01-07
SRSBU,ISR1K,C1116-4P,Q4 FY2007,JUN FY2007,1862,2019-01-06
SRSBU,ISR1K,C1116-4P,Q4 FY2007,MAY FY2007,1024,2019-01-05
SRSBU,ISR1K,C1121-8P,Q4 FY2007,JUL FY2007,2,2019-01-07
SRSBU,ISR1K,P-LTEA-EA,Q4 FY2007,JUL FY2007,1536,2019-01-07
SRSBU,ISR1K,P-LTEA-EA,Q4 FY2007,JUN FY2007,81,2019-01-06
SRSBU,ISR1K,P-LTEA-EA,Q4 FY2007,MAY FY2007,110,2019-01-05
SRSBU,ISR900,C927-4P,Q4 FY2007,JUL FY2007,642,2019-01-07
SRSBU,ISR900,C927-4P,Q4 FY2007,JUN FY2007,8,2019-01-06
SRSBU,ISR900,C927-4P,Q4 FY2007,MAY FY2007,26,2019-01-05
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,JUL FY2007,472,2019-01-07
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,JUN FY2007,212,2019-01-06
SRSBU,VIPTELA,VEDGE-2000-AC-K9,Q4 FY2007,MAY FY2007,161,2019-01-05
SRSBU,WANLAN,NIM-24A,Q4 FY2007,JUL FY2007,7789,2019-01-07
SRSBU,WANLAN,NIM-24A,Q4 FY2007,JUN FY2007,7502,2019-01-06
SRSBU,WANLAN,NIM-24A,Q4 FY2007,MAY FY2007,5998,2019-01-05
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2007,JUL FY2007,3378,2019-01-07
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2007,JUN FY2007,2040,2019-01-06
TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2007,MAY FY2007,2152,2019-01-05
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2007,JUL FY2007,55753,2019-01-07
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2007,JUN FY2007,28768,2019-01-06
TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q4 FY2007,MAY FY2007,21251,2019-01-05
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2007,JUL FY2007,41706,2019-01-07
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2007,JUN FY2007,14297,2019-01-06
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2007,MAY FY2007,16016,2019-01-05
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2007,JUL FY2007,1623,2019-01-07
